"Section","# of tickets (>=0)","Price Range","Type"
"SKYBAR","63","$49.5","primary"
"FLOOR","42","$87 - $1022","resale"
"209","36","$89.5","primary"
"210","31","$89.5","primary"
"208","8","$278","resale"
"FLOOR","6","$209.5","primary"
"FLOOR","5","$59.5","primary"
"LOG204","4","$255","primary"
"208","4","$212","resale"
"206","4","$172","resale"
"205","4","$205","resale"
"LOG204","3","$225","primary"
"LOG202","3","$225","primary"
"LOG202","2","$255","primary"
"LOG201","2","$335","primary"
"LOG201","2","$265","primary"
"LOG201","2","$240","primary"
"208","2","$89.5","primary"
"207","2","$163","resale"
"207","2","$251","resale"
"206","2","$251","resale"
"205","2","$166","resale"
"205","2","$144","resale"
"205","2","$154","resale"
"LOG204","1","$99.5","primary"
"LOG202","1","$220","primary"
"LOG202","1","$99.5","primary"
"207","1","$89.5","primary"
"206","1","$89.5","primary"
