"Section","# of tickets (>=0)","Price Range","Type"
"GA2","500","$33","primary"
"GA1","398","$33","primary"
"BLRRHT","72","$38","primary"
"BLRLFT","72","$38","primary"
"BLCNTR","57","$38","primary"
"GA1","45","$108","primary"
"GA3","38","$33","primary"
"BLCRGT","33","$43","primary"
"BLCLFT","32","$43","primary"
"GA1","8","$83","primary"
"GA1","8","$66","resale"
"BLCRGT","8","$93","primary"
"BLCNTR","8","$63","primary"
"BLCNTR","6","$93","primary"
"BLCNTR","6","$43","primary"
"BLCNTR","6","$113","resale"
"BLCNTR","4","$73","primary"
"BLCNTR","4","$124","resale"
"BLCNTR","4","$118","resale"
"BLCNTR","2","$124","resale"
"BLCNTR","2","$119","resale"
