"Section","# of tickets (>=0)","Price Range","Type"
"CBALC","78","$84","primary"
"CBALC","65","$84","primary"
"RPLAT","49","$164","primary"
"LPLAT","47","$164","primary"
"CPLAT","45","$164","primary"
"LORCH","44","$104","primary"
"CMEZZ","41","$104","primary"
"RORCH","40","$104","primary"
"CORCH","38","$134","primary"
"CORCH","38","$104","primary"
"RBALC","36","$84","primary"
"LBALC","36","$84","primary"
"RORCH","28","$134","primary"
"LORCH","28","$134","primary"
"RMEZZ","27","$104","primary"
"LMEZZ","25","$104","primary"
"CMEZZ","25","$134","primary"
"RBALC","20","$84","primary"
"LBALC","20","$84","primary"
"CPLAT","20","$174","primary"
"CORCH","20","$144","primary"
"CMEZZ","20","$114","primary"
"RORCH","16","$84","primary"
"LORCH","16","$114","primary"
"RMEZZ","14","$114","primary"
"RPLAT","12","$174","primary"
"RORCH","12","$114","primary"
"LPLAT","12","$174","primary"
"LORCH","12","$144","primary"
"CORCH","12","$114","primary"
"CMEZZ","12","$144","primary"
"LORCH","10","$84","primary"
"LMEZZ","10","$134","primary"
"LMEZZ","10","$114","primary"
"RMEZZ","8","$134","primary"
"RORCH","6","$144","primary"
"LMEZZ","4","$144","primary"
"CMEZZ","3","$164","primary"
"RMEZZ","2","$144","primary"
"CMEZZ","2","$174","primary"
"LPLAT","1","$214","primary"
