"Section","# of tickets (>=0)","Price Range","Type"
"SEC 1","146","$130 - $145","primary"
"SEC 2","131","$130 - $145","primary"
"SEC 4","116","$110 - $125","primary"
"SEC 3","112","$110 - $125","primary"
"SEC 2","96","$125 - $140","primary"
"SEC 1","73","$125 - $140","primary"
"SEC 2","41","$135 - $150","primary"
"SEC 5","35","$110 - $125","primary"
"SEC 1","25","$135 - $150","primary"
"SEC 1","8","$220","resale"
"SEC 2","6","$306","resale"
"SEC 4","4","$204","resale"
"SEC 2","4","$305","resale"
"SEC 2","4","$308.75","primary"
"SEC 1","4","$332.5","primary"
"SEC 2","2","$712.5","primary"
"SEC 2","2","$316","resale"
"SEC 2","2","$254","resale"
"SEC 1","2","$403.75","primary"
"SEC 1","2","$270","resale"
"SEC 1","2","$327","resale"
"SEC 1","2","$306","resale"
"SEC 1","2","$276","resale"
"SEC 1","2","$338","resale"
"SEC 1","2","$285","primary"
