"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","706","$35","primary"
"SKYBAR","98","$25","primary"
"209","69","$45","primary"
"210","66","$45","primary"
"208","33","$45","primary"
"207","14","$45","primary"
"206","12","$45","primary"
"LOG202","9","$65","primary"
"LOG204","8","$65","primary"
"LOG202","5","$145","primary"
"SKYBAR","4","$57","resale"
"LOG204","4","$165","primary"
"205","4","$45","primary"
"205","4","$93","resale"
"LOG203","3","$155","primary"
"LOG203","2","$65","primary"
"LOG202","2","$165","primary"
"LOG201","2","$65","primary"
"208","2","$91","resale"
"207","2","$89","resale"
"206","2","$89","resale"
"205","2","$93","resale"
"205","2","$118","resale"
