"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","693","$35","primary"
"SKYBAR","96","$25","primary"
"209","67","$45","primary"
"210","64","$45","primary"
"208","29","$45","primary"
"207","12","$45","primary"
"206","12","$45","primary"
"LOG202","9","$65","primary"
"LOG204","8","$65","primary"
"LOG202","5","$125","primary"
"SKYBAR","4","$57","resale"
"LOG204","4","$145","primary"
"205","4","$45","primary"
"205","4","$93","resale"
"LOG203","3","$135","primary"
"LOG203","2","$65","primary"
"LOG202","2","$145","primary"
"LOG201","2","$65","primary"
"208","2","$85","resale"
"207","2","$89","resale"
"206","2","$89","resale"
"205","2","$93","resale"
"205","2","$118","resale"
