"Section","# of tickets (>=0)","Price Range","Type"
"ADG","323","$55","primary"
"BALCON","291","$55","primary"
"TABOUR","12","$55","primary"
"TAB89","6","$55","primary"
"TAB88","6","$55","primary"
"TAB86","6","$55","primary"
"TAB85","6","$55","primary"
"TAB84","6","$55","primary"
"TAB83","6","$55","primary"
"TAB82","6","$55","primary"
"TAB81","6","$55","primary"
"TAB80","6","$55","primary"
"TAB79","6","$55","primary"
"TAB78","6","$55","primary"
"TAB77","6","$55","primary"
"TAB76","6","$55","primary"
"TAB74","6","$55","primary"
"TAB73","6","$55","primary"
"TAB72","6","$55","primary"
"TAB71","6","$55","primary"
"TAB70","6","$55","primary"
"TAB69","6","$55","primary"
"TAB68","6","$55","primary"
"TAB66","6","$55","primary"
"TAB57","6","$55","primary"
"TAB56","6","$55","primary"
"TAB75","4","$55","primary"
"TAB67","4","$55","primary"
"TAB8","4","$55","primary"
"TAB6","4","$55","primary"
"TAB4","4","$55","primary"
"TAB55","2","$55","primary"
"TAB7","2","$55","primary"
"TAB3","2","$55","primary"
"TAB46","1","$55","primary"
"TAB43","1","$55","primary"
