"Section","# of tickets (>=0)","Price Range","Type"
"GAGLRY","414","$39.5","primary"
"FLOOR","224","$229","primary"
"FLOOR","157","$52.5","primary"
"SEC 9","37","$56.5","primary"
"SEC11","33","$56.5","primary"
"SEC 8","19","$56.5","primary"
"SEC10","11","$56.5","primary"
"SEC 4","11","$56.5","primary"
"211","6","$142.25","primary"
"SEC 7","4","$119","primary"
"SEC 5","4","$119","primary"
"SEC 8","3","$69.5","primary"
"209","3","$142.25","primary"
"203","3","$142.25","primary"
"SEC 7","2","$121","primary"
"SEC 6","2","$120","primary"
"SEC 5","2","$121","primary"
"SEC 4","2","$117","primary"
"208","2","$144.25","primary"
"SEC 5","1","$69.5","primary"
