"Section","# of tickets (>=0)","Price Range","Type"
"GENAD1","236","$49","primary"
"GENAD2","211","$49","primary"
"GENAD3","169","$49","primary"
"GENAD2","81","$149","primary"
"GENAD2","69","$104","primary"
"GENAD1","34","$49","primary"
"GENAD1","26","$104","primary"
"BALCR","21","$69","primary"
"BALCL","21","$69","primary"
"BALCC","21","$69","primary"
"BALCR","15","$69","primary"
"BALCC","15","$69","primary"
"BALCL","12","$69","primary"
"BALCC","5","$130.5","primary"
"BALCC","2","$150.5","primary"
"BALCL","1","$151.5","primary"
"BALCC","1","$196.5","primary"
