"Section","# of tickets (>=0)","Price Range","Type"
"GENAD1","236","$49","primary"
"GENAD2","146","$49","primary"
"GENAD3","129","$49","primary"
"GENAD1","83","$49","primary"
"GENAD2","82","$149","primary"
"GENAD2","69","$104","primary"
"GENAD1","26","$104","primary"
"BALCR","21","$69","primary"
"BALCL","21","$69","primary"
"BALCC","21","$69","primary"
"BALCR","15","$69","primary"
"BALCC","15","$69","primary"
"BALCL","14","$69","primary"
"BALCC","5","$130.5","primary"
"BALCC","3","$196.5","primary"
"BALCC","2","$150.5","primary"
"BALCL","1","$151.5","primary"
