"Section","# of tickets (>=0)","Price Range","Type"
"GAFLR2","50","$103 - $1022","resale"
"GALOGE","25","$129 - $137","resale"
"GAOBA","24","$118 - $128","resale"
"GAFLR3","17","$102 - $137","resale"
"GAFLR1","15","$118 - $186","resale"
"400","8","$187","resale"
"204","6","$204","resale"
"204","4","$278","resale"
"204","2","$169","resale"
"202","2","$130","resale"
"300","1","$187","primary"
"206","1","$157","primary"
"202","1","$75","primary"
"202","1","$202","primary"
"202","1","$55","primary"
"202","1","$88.75","primary"
