"Section","# of tickets (>=0)","Price Range","Type"
"GA5","250","$39.5","primary"
"GA4","250","$39.5","primary"
"GA3","250","$39.5","primary"
"GA2","171","$39.5","primary"
"GA6","104","$39.5","primary"
"402","103","$39.5","primary"
"401","100","$39.5","primary"
"303","20","$39.5","primary"
"304","12","$39.5","primary"
"305","10","$39.5","primary"
"306","7","$39.5","primary"
"302","6","$111.5","primary"
"301","6","$39.5","primary"
"303","5","$91.5","primary"
"302","5","$39.5","primary"
"306","2","$45","primary"
"305","2","$45","primary"
"207","1","$39.5","primary"
"206","1","$39.5","primary"
"205","1","$106.5","primary"
"204","1","$126.5","primary"
