"Section","# of tickets (>=0)","Price Range","Type"
"GAFLR2","42","$123 - $1022","resale"
"GAOBA","29","$117 - $128","resale"
"GAFLR1","26","$118 - $223","resale"
"GALOGE","25","$129 - $137","resale"
"GAFLR3","17","$102 - $136","resale"
"400","8","$187","resale"
"300","5","$227","primary"
"204","5","$204","resale"
"202","5","$227","primary"
"204","4","$278","resale"
"204","4","$205","resale"
"300","3","$177","primary"
"202","3","$55","primary"
"204","2","$144","resale"
"204","2","$169","resale"
"202","2","$179","resale"
"202","2","$130","resale"
"300","1","$55","primary"
"206","1","$55","primary"
"202","1","$75","primary"
