"Section","# of tickets (>=0)","Price Range","Type"
"GALOGE","79","$35","primary"
"GAOBA","57","$35","primary"
"GAFLR2","38","$123 - $1022","resale"
"GAFLR1","17","$112 - $186","resale"
"GAFLR3","9","$117 - $137","resale"
"400","8","$187","resale"
"204","8","$204","resale"
"204","4","$278","resale"
"204","4","$169","resale"
"204","3","$55","primary"
"300","1","$187","primary"
"206","1","$157","primary"
"202","1","$75","primary"
"202","1","$202","primary"
"202","1","$55","primary"
"202","1","$88.75","primary"
