"Section","# of tickets (>=0)","Price Range","Type"
"CBALC","78","$55","primary"
"CBALC","78","$55","primary"
"RPLAT","54","$85","primary"
"LPLAT","54","$85","primary"
"CPLAT","52","$85","primary"
"CORCH","48","$65","primary"
"CMEZZ","45","$65","primary"
"CORCH","42","$75","primary"
"RORCH","40","$65","primary"
"LORCH","40","$65","primary"
"RBALC","36","$55","primary"
"LBALC","36","$55","primary"
"RORCH","28","$75","primary"
"LORCH","28","$75","primary"
"CPLAT","28","$95","primary"
"RMEZZ","27","$65","primary"
"CMEZZ","27","$75","primary"
"LMEZZ","25","$65","primary"
"RORCH","20","$55","primary"
"RBALC","20","$55","primary"
"LBALC","20","$55","primary"
"CORCH","20","$85","primary"
"CORCH","20","$75","primary"
"CMEZZ","20","$75","primary"
"RORCH","16","$75","primary"
"LORCH","16","$75","primary"
"RMEZZ","14","$75","primary"
"LORCH","14","$55","primary"
"RPLAT","13","$95","primary"
"RORCH","12","$85","primary"
"LPLAT","12","$95","primary"
"LORCH","12","$85","primary"
"CMEZZ","12","$85","primary"
"LMEZZ","10","$75","primary"
"LMEZZ","9","$75","primary"
"RMEZZ","8","$75","primary"
"CMEZZ","5","$85","primary"
"RMEZZ","2","$85","primary"
"LMEZZ","2","$85","primary"
"RPLAT","1","$105","primary"
