"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","331","$49.5","primary"
"SKYBAR","102","$39.5","primary"
"210","69","$59.5","primary"
"209","69","$59.5","primary"
"208","40","$59.5","primary"
"LOG201","20","$89.5","primary"
"206","18","$59.5","primary"
"LOG204","17","$89.5","primary"
"LOG203","17","$89.5","primary"
"LOG202","16","$89.5","primary"
"FLOOR","14","$78 - $102","resale"
"207","9","$59.5","primary"
"101","8","$195","resale"
"101","7","$99.5","primary"
"LOG202","6","$149","resale"
"102","5","$300","primary"
"LOG204","4","$157","resale"
"LOG203","4","$222","resale"
"205","4","$103","resale"
"102","4","$223","resale"
"102","4","$169","resale"
"102","4","$282","resale"
"102","4","$149","resale"
"102","4","$194","resale"
"102","4","$99.5","primary"
"101","4","$300","primary"
"101","4","$254","resale"
"101","4","$189","resale"
"101","3","$450","primary"
"LOG201","2","$219","resale"
"207","2","$144","resale"
"207","2","$105","resale"
"206","2","$123","resale"
"205","2","$144","resale"
"205","2","$122","resale"
"205","2","$59.5","primary"
"102","2","$193","resale"
"101","2","$813","resale"
"101","2","$246","resale"
"101","2","$409","resale"
"101","2","$231","resale"
"101","2","$179","resale"
"101","2","$134","resale"
"101","2","$169","resale"
"101","2","$198","resale"
"101","2","$302","resale"
